value,time
5.333,218.750
5.333,218.781
5.3363,218.812
5.3363,218.844
5.3368,218.875
5.3373,218.906
5.3406,218.937
5.3406,218.969
5.3406,219.000
5.3439,219.031
5.3439,219.062
5.3471,219.094
5.3471,219.125
5.3471,219.156
5.3471,219.187
5.3471,219.219
5.3471,219.250
5.3439,219.281
5.3439,219.312
5.3433,219.344
5.3428,219.375
5.3395,219.406
5.3428,219.437
5.3428,219.469
5.3395,219.500
5.3401,219.531
5.3373,219.562
5.3373,219.594
5.3373,219.625
5.3373,219.656
5.3379,219.687
5.3384,219.719
5.3384,219.750
5.3389,219.781
5.3389,219.812
5.3395,219.844
5.3395,219.875
5.3362,219.906
5.3362,219.937
5.3367,219.969
5.3367,220.000
5.3395,220.031
5.3395,220.062
5.3395,220.094
5.34,220.125
5.3395,220.156
5.3389,220.187
5.3395,220.219
5.3389,220.250
5.3389,220.281
5.3417,220.312
5.3417,220.344
5.3417,220.375
5.3417,220.406
5.3411,220.437
5.3406,220.469
5.3373,220.500
5.3373,220.531
5.3373,220.562
5.3368,220.594
5.3368,220.625
5.3368,220.656
5.3368,220.687
5.3368,220.719
5.3368,220.750
5.3335,220.781
5.3335,220.812
5.3335,220.844
5.3335,220.875
5.3335,220.906
5.3335,220.937
5.3368,220.969
5.3368,221.000
5.3406,221.031
5.3444,221.062
5.3449,221.094
5.3449,221.125
5.3449,221.156
5.3487,221.187
5.352,221.219
5.3553,221.250
5.3591,221.281
5.3629,221.312
5.3667,221.344
5.3705,221.375
5.3743,221.406
5.3748,221.437
5.3786,221.469
5.3786,221.500
5.3786,221.531
5.3819,221.562
5.3857,221.594
5.3889,221.625
5.3889,221.656
5.3895,221.687
5.3867,221.719
5.3867,221.750
5.3867,221.781
5.3867,221.812
5.3867,221.844
5.3867,221.875
5.3867,221.906
5.3867,221.937
5.3835,221.969
5.3802,222.000
5.3764,222.031
5.3726,222.062
5.3688,222.094
5.3683,222.125
5.365,222.156
5.3645,222.187
5.3607,222.219
5.3569,222.250
5.3531,222.281
5.3493,222.312
5.3455,222.344
5.3417,222.375
5.3379,222.406
5.3373,222.437
5.3368,222.469
5.3368,222.500
5.3368,222.531
5.3368,222.562
5.3335,222.594
5.3363,222.625
5.3395,222.656
5.3428,222.687
5.3428,222.719
5.3428,222.750
5.3428,222.781
5.3428,222.812
5.3428,222.844
5.3428,222.875
5.3428,222.906
5.3428,222.937
5.3428,222.969
5.3428,223.000
5.3428,223.031
5.3428,223.062
5.3428,223.094
5.3395,223.125
5.3363,223.156
5.3363,223.187
5.3363,223.219
5.3363,223.250
5.3363,223.281
5.3363,223.312
5.3363,223.344
5.3335,223.375
5.3335,223.406
5.3368,223.437
5.3368,223.469
5.3368,223.500
5.3373,223.531
5.3341,223.562
5.3346,223.594
5.3346,223.625
5.3384,223.656
5.3417,223.687
5.3455,223.719
5.3455,223.750
5.3493,223.781
5.3498,223.812
5.3531,223.844
5.3569,223.875
5.3574,223.906
5.3612,223.937
5.365,223.969
5.3683,224.000
5.3688,224.031
5.3721,224.062
5.3759,224.094
5.3759,224.125
5.3764,224.156
5.3764,224.187
5.3802,224.219
5.3802,224.250
5.3835,224.281
5.3867,224.312
5.3867,224.344
5.3867,224.375
5.3867,224.406
5.3867,224.437
5.3867,224.469
5.39,224.500
5.39,224.531
5.39,224.562
5.39,224.594
5.39,224.625
5.39,224.656
5.39,224.687
5.39,224.719
5.39,224.750
5.39,224.781
5.39,224.812
5.39,224.844
5.39,224.875
5.39,224.906
5.39,224.937
5.39,224.969
5.39,225.000
5.39,225.031
5.39,225.062
5.3905,225.094
5.3911,225.125
5.3944,225.156
5.3944,225.187
5.3944,225.219
5.3944,225.250
5.3944,225.281
5.3949,225.312
5.3949,225.344
5.3955,225.375
5.396,225.406
5.396,225.437
5.3965,225.469
5.3971,225.500
5.3971,225.531
5.3999,225.562
5.3993,225.594
5.396,225.625
5.3965,225.656
5.3971,225.687
5.4004,225.719
5.4004,225.750
5.3999,225.781
5.4037,225.812
5.4071,225.844
5.4071,225.875
5.4076,225.906
5.4109,225.937
5.4109,225.969
5.4148,226.000
5.412,226.031
5.4125,226.062
5.4131,226.094
5.4131,226.125
5.4164,226.156
5.4136,226.187
5.4175,226.219
5.418,226.250
5.4175,226.281
5.4175,226.312
5.4208,226.344
5.4241,226.375
5.4208,226.406
5.4208,226.437
5.4208,226.469
5.4208,226.500
5.4208,226.531
5.4241,226.562
5.4275,226.594
5.4275,226.625
5.4308,226.656
5.4308,226.687
5.4341,226.719
5.4347,226.750
5.4347,226.781
5.4347,226.812
5.4347,226.844
5.438,226.875
5.4413,226.906
5.4413,226.937
5.4447,226.969
5.448,227.000
5.448,227.031
5.448,227.062
5.448,227.094
5.448,227.125
5.448,227.156
5.448,227.187
5.448,227.219
5.448,227.250
5.448,227.281
5.448,227.312
5.448,227.344
5.448,227.375
5.448,227.406
5.448,227.437
5.448,227.469
