value,time
1.722,0
1.7173,0.1
1.7164,0.2
1.7154,0.4
1.7144,0.5
1.7139,0.6
1.7133,0.7
1.7127,0.9
1.7121,1
1.7121,1.1
1.7126,1.2
1.712,1.4
1.712,1.5
1.712,1.6
1.712,1.8
1.712,1.9
1.712,2
1.711,2.1
1.711,2.3
1.711,2.4
1.711,2.5
1.711,2.6
1.7116,2.7
1.7116,2.9
1.7116,3
1.7116,3.1
1.7116,3.2
1.7116,3.4
1.7121,3.5
1.7116,3.6
1.7116,3.8
1.7131,3.9
1.7137,4
1.7143,4.1
1.7149,4.2
1.7174,4.4
1.7196,4.5
1.7217,4.6
1.7229,4.7
1.725,4.9
1.7271,5
1.7293,5.1
1.7289,5.2
1.7294,5.4
1.7294,5.5
1.7294,5.6
1.7294,5.8
1.7294,5.9
1.7299,6
1.7277,6.1
1.7256,6.2
1.7256,6.4
1.725,6.5
1.7244,6.6
1.7223,6.7
1.7223,6.9
1.7223,7
1.7223,7.1
1.7207,7.2
1.7201,7.4
1.7186,7.5
1.7196,7.6
1.717,7.8
1.7186,7.9
1.7196,8
1.7196,8.1
1.719,8.2
1.7184,8.4
1.7169,8.5
1.7163,8.6
1.7151,8.7
1.7136,8.9
1.713,9
1.712,9.1
1.7126,9.3
1.7126,9.4
1.7126,9.5
1.7116,9.6
1.7116,9.7
1.7116,9.9
1.7116,10
1.711,10.1
1.711,10.2
1.711,10.4
1.711,10.5
1.711,10.6
1.711,10.7
1.711,10.9
1.711,11
1.7116,11.1
1.7116,11.3
1.7116,11.4
1.7121,11.5
1.7121,11.6
1.7127,11.8
1.7133,11.9
1.7127,12
1.7127,12.1
1.7133,12.2
1.7127,12.4
1.7127,12.5
1.7121,12.6
1.7116,12.7
1.7116,12.9
1.7116,13
1.711,13.1
1.711,13.3
1.711,13.4
1.711,13.5
1.711,13.6
1.711,13.8
1.711,13.9
1.711,14
1.7116,14.1
1.7116,14.2
1.7116,14.4
1.7116,14.5
1.7116,14.6
1.7126,14.7
1.7126,14.9
1.712,15
1.712,15.1
1.712,15.3
1.712,15.4
1.712,15.5
1.711,15.6
1.712,15.7
1.712,15.9
1.712,16
1.712,16.1
1.712,16.2
1.712,16.4
1.712,16.5
1.711,16.6
1.712,16.7
1.712,16.9
1.712,17
1.712,17.1
1.712,17.3
1.712,17.4
1.712,17.5
1.711,17.6
1.711,17.7
1.711,17.9
1.712,18
1.712,18.1
1.712,18.2
1.712,18.4
1.712,18.5
1.712,18.6
1.712,18.8
1.711,18.9
1.711,19
1.711,19.1
1.711,19.2
1.711,19.4
1.711,19.5
1.711,19.6
1.711,19.7
1.711,19.9
1.711,20
1.711,20.1
1.711,20.2
1.711,20.4
1.7126,20.5
1.7126,20.6
1.7126,20.8
1.7126,20.9
1.7126,21
1.7131,21.1
1.7131,21.3
1.7121,21.4
1.7121,21.5
1.7121,21.6
1.7127,21.7
1.7127,21.9
1.7121,22
1.7121,22.1
1.7126,22.2
1.7126,22.4
1.7126,22.5
1.712,22.6
1.713,22.8
1.713,22.9
1.713,23
1.712,23.1
1.712,23.3
1.712,23.4
1.7114,23.5
1.7104,23.6
1.7099,23.7
1.7099,23.9
1.7099,24
1.7083,24.1
1.7083,24.2
1.7089,24.4
1.7089,24.5
1.7094,24.6
1.7089,24.8
1.7089,24.9
1.7099,25
1.7083,25.1
1.7083,25.2
1.7083,25.4
1.7083,25.5
1.7089,25.6
1.7089,25.7
1.7094,25.9
1.711,26
1.7094,26.1
1.7079,26.2
1.7073,26.4
1.7073,26.5
1.7057,26.6
1.7041,26.8
1.7026,26.9
1.7026,27
1.7041,27.1
1.7047,27.2
1.7047,27.4
1.7063,27.5
1.7079,27.6
1.7094,27.7
1.711,27.9
1.711,28
1.711,28.1
1.711,28.3
1.711,28.4
1.711,28.5
1.7104,28.6
1.7104,28.7
1.7104,28.9
1.7109,29
1.7093,29.1
1.7077,29.2
1.7077,29.4
1.7083,29.5
1.7083,29.6
1.7083,29.7
1.7079,29.9
1.7094,30
1.7094,30.1
1.7094,30.3
1.7094,30.4
1.7094,30.5
1.7094,30.6
1.7094,30.8
1.7094,30.9
1.711,31
1.711,31.1
1.7126,31.2
1.7126,31.4
1.7126,31.5
1.7126,31.6
1.7126,31.7
1.7126,31.9
1.7126,32
1.712,32.1
1.712,32.3
1.712,32.4
1.712,32.5
1.712,32.6
1.712,32.8
1.712,32.9
1.711,33
1.711,33.1
1.711,33.2
1.711,33.4
1.711,33.5
1.711,33.6
1.711,33.7
1.711,33.9
1.711,34
1.711,34.1
1.711,34.3
1.711,34.4
1.711,34.5
1.711,34.6
1.711,34.7
1.7094,34.9
1.7079,35
1.7063,35.1
1.7047,35.2
1.7031,35.4
1.7031,35.5
1.7016,35.6
1.701,35.7
1.701,35.9
1.701,36
1.7026,36.1
1.7041,36.3
1.7041,36.4
1.7057,36.5
1.7063,36.6
1.7079,36.7
1.7084,36.9
1.7069,37
1.7069,37.1
1.7069,37.2
1.7063,37.4
1.7063,37.5
1.7047,37.6
1.7057,37.8
1.7073,37.9
1.7051,38
1.7036,38.1
1.7041,38.2
1.7057,38.4
1.7073,38.5
1.7073,38.6
1.7057,38.7
1.7063,38.9
1.7063,39
1.7041,39.1
1.7026,39.2
1.701,39.4
1.6994,39.5
1.701,39.6
1.7004,39.8
1.702,39.9
1.7026,40
1.702,40.1
1.702,40.3
1.7036,40.4
1.703,40.5
1.7036,40.6
1.702,40.7
1.702,40.9
1.7026,41
1.7026,41.1
1.7004,41.2
1.6994,41.4
1.6989,41.5
1.6989,41.6
1.6983,41.8
1.6983,41.9
1.6977,42
1.6977,42.1
1.6977,42.3
1.6999,42.4
1.6993,42.5
1.7009,42.6
1.7019,42.7
1.7024,42.9
1.704,43
1.704,43.1
1.7019,43.2
1.7029,43.4
1.7013,43.5
1.7003,43.6
1.7003,43.8
1.6993,43.9
1.6993,44
1.6993,44.1
1.6989,44.3
1.6994,44.4
1.6994,44.5
1.701,44.6
1.7026,44.7
1.7041,44.9
1.7063,45
1.7079,45.1
1.7094,45.2
1.711,45.4
1.7094,45.5
1.7079,45.6
1.7079,45.8
1.7073,45.9
1.7057,46
1.7051,46.1
1.7036,46.2
1.7036,46.4
1.7036,46.5
1.702,46.6
1.701,46.7
1.701,46.9
1.7,47
1.6994,47.1
1.6989,47.2
1.6989,47.4
1.6989,47.5
1.6983,47.6
1.6983,47.7
1.6993,47.9
1.7014,48
1.703,48.1
1.703,48.2
1.7034,48.4
1.704,48.5
1.7034,48.6
1.7024,48.7
1.7009,48.9
1.6999,49
1.6999,49.1
1.6994,49.3
1.6994,49.4
1.7,49.5
1.6994,49.6
1.6989,49.8
1.6983,49.9
1.6977,50
1.6977,50.1
1.6977,50.2
1.6977,50.4
1.6993,50.5
1.6993,50.6
1.6999,50.7
1.7004,50.9
1.6999,51
1.6993,51.1
1.6987,51.3
1.6977,51.4
1.6993,51.5
1.6987,51.6
1.6991,51.8
1.6991,51.9
1.6997,52
1.6997,52.1
1.6991,52.2
1.6986,52.4
1.6986,52.5
1.6981,52.6
1.6981,52.7
1.6981,52.9
1.6981,53
1.6981,53.1
1.6971,53.3
1.6977,53.4
1.6971,53.5
1.6977,53.6
1.6977,53.8
1.6977,53.9
1.6977,54
1.6977,54.1
1.6971,54.2
1.6971,54.4
1.6971,54.5
1.6971,54.6
1.6977,54.7
1.6983,54.9
1.6989,55
1.7004,55.1
1.7026,55.3
1.7041,55.4
1.7041,55.5
1.7041,55.6
1.7057,55.7
1.7057,55.9
1.7063,56
1.7063,56.1
1.7063,56.2
1.7084,56.4
1.7106,56.5
1.7111,56.6
1.7149,56.7
1.717,56.9
1.7191,57
1.7213,57.1
1.7213,57.2
1.7213,57.4
1.7213,57.5
1.7197,57.6
1.7191,57.7
1.717,57.9
1.7149,58
1.7143,58.1
1.7137,58.2
1.7141,58.4
1.712,58.5
1.7114,58.6
1.7114,58.8
1.7114,58.9
1.7114,59
1.7114,59.1
1.7104,59.3
1.7104,59.4
1.7079,59.5
1.7057,59.6
1.7061,59.7
1.7046,59.9
1.703,60
1.7024,60.1
1.7024,60.2
1.7024,60.4
1.703,60.5
1.701,60.6
1.7004,60.8
1.6999,60.9
1.6983,61
1.6983,61.1
1.6993,61.3
1.6993,61.4
1.7009,61.5
1.7014,61.6
1.7024,61.7
1.703,61.9
1.703,62
1.702,62.1
1.702,62.2
1.7004,62.4
1.7004,62.5
1.7,62.6
1.7,62.8
1.7,62.9
1.7016,63
1.7016,63.1
1.701,63.3
1.701,63.4
1.701,63.5
1.702,63.6
1.702,63.7
1.702,63.9
1.7036,64
1.7041,64.1
1.7057,64.2
1.7063,64.4
1.7069,64.5
1.7069,64.6
1.7069,64.8
1.7057,64.9
1.7073,65
1.7057,65.1
1.7051,65.3
1.7036,65.4
1.7036,65.5
1.702,65.6
1.7041,65.7
1.703,65.9
1.703,66
1.703,66.1
1.7046,66.2
1.7046,66.4
1.7046,66.5
1.703,66.6
1.7026,66.7
1.7041,66.9
1.7051,67
1.7046,67.1
1.7046,67.2
1.7056,67.4
1.7046,67.5
1.7046,67.6
1.7046,67.7
1.7061,67.9
1.7051,68
1.7061,68.1
1.7061,68.2
1.7071,68.4
1.7071,68.5
1.7056,68.6
1.7046,68.8
1.7061,68.9
1.7051,69
1.7051,69.1
1.7057,69.2
1.7057,69.4
1.7057,69.5
1.7051,69.6
1.7036,69.7
1.7051,69.9
1.7041,70
1.7041,70.1
1.7057,70.3
1.7067,70.4
1.7073,70.5
1.7089,70.6
1.7099,70.8
1.7099,70.9
1.7099,71
1.7099,71.1
1.7104,71.2
1.7104,71.4
1.7104,71.5
1.7089,71.6
1.7104,71.7
1.7089,71.9
1.7083,72
1.7067,72.1
1.7061,72.3
1.7046,72.4
1.7051,72.5
1.7036,72.6
1.7036,72.8
1.7036,72.9
1.7046,73
1.7036,73.1
1.7036,73.2
1.703,73.4
1.704,73.5
1.704,73.6
1.703,73.7
1.702,73.9
1.7014,74
1.7014,74.1
1.7004,74.3
1.6994,74.4
1.7004,74.5
1.7004,74.6
1.7004,74.8
1.701,74.9
1.701,75
1.702,75.1
1.703,75.2
1.703,75.4
1.7046,75.5
1.7046,75.6
1.7046,75.7
1.7056,75.9
1.7046,76
1.7036,76.1
1.7026,76.2
1.701,76.4
1.701,76.5
1.701,76.6
1.7,76.7
1.7,76.9
1.7,77
1.7004,77.1
1.7004,77.2
1.7004,77.4
1.7004,77.5
1.7004,77.6
1.7014,77.7
1.7009,77.9
1.6999,78
1.7009,78.1
1.7003,78.3
1.7003,78.4
1.7003,78.5
1.6993,78.6
1.7009,78.7
1.7024,78.9
1.7024,79
1.703,79.1
1.703,79.2
1.7024,79.4
1.7034,79.5
1.7024,79.6
1.7024,79.8
1.7014,79.9
1.7024,80
1.7024,80.1
1.703,80.3
1.703,80.4
1.703,80.5
1.702,80.6
1.703,80.7
1.7036,80.9
1.7036,81
1.7061,81.1
1.7051,81.2
1.7056,81.4
1.7056,81.5
1.7046,81.6
1.703,81.8
1.703,81.9
1.7004,82
1.7004,82.1
1.6994,82.3
1.6994,82.4
1.6994,82.5
1.6994,82.6
1.6994,82.7
1.6994,82.9
1.6994,83
1.7,83.1
1.701,83.2
1.701,83.4
1.701,83.5
1.7026,83.6
1.7026,83.8
1.7026,83.9
1.7041,84
1.7031,84.1
1.7031,84.3
1.7041,84.4
1.7026,84.5
1.7041,84.6
1.7051,84.7
1.7051,84.9
1.7051,85
1.7051,85.1
1.7057,85.2
1.7073,85.4
1.7067,85.5
1.7073,85.6
1.7073,85.7
1.7089,85.9
1.7089,86
1.7073,86.1
1.7067,86.2
1.7073,86.4
1.7073,86.5
1.7073,86.6
1.7057,86.7
1.7083,86.9
1.7083,87
1.7073,87.1
1.7083,87.2
1.7067,87.4
1.7051,87.5
1.7067,87.6
1.7057,87.8
1.7057,87.9
1.7073,88
1.7047,88.1
1.7057,88.2
1.7057,88.4
1.7057,88.5
1.7057,88.6
1.7073,88.7
1.7057,88.9
1.7067,89
1.7057,89.1
1.7057,89.3
1.7041,89.4
1.7026,89.5
1.701,89.6
1.702,89.8
1.701,89.9
1.701,90
1.7036,90.1
1.7046,90.2
1.7046,90.4
1.7046,90.5
1.7046,90.6
1.7061,90.7
1.7061,90.9
1.7046,91
1.7036,91.1
1.7051,91.3
1.7051,91.4
1.7057,91.5
1.7041,91.6
1.7041,91.8
1.7041,91.9
1.7057,92
1.7057,92.1
1.7073,92.2
1.7067,92.4
1.7083,92.5
1.7093,92.6
1.7083,92.7
1.7067,92.9
1.7051,93
1.7051,93.1
1.7057,93.3
1.7041,93.4
1.7031,93.5
1.7047,93.6
1.7047,93.8
1.7047,93.9
1.7041,94
1.7026,94.1
1.7026,94.2
1.7026,94.4
1.701,94.5
1.7036,94.6
1.7046,94.7
1.7036,94.9
1.7036,95
1.7046,95.1
1.7046,95.2
1.7046,95.4
1.702,95.5
1.701,95.6
1.701,95.8
1.701,95.9
1.7,96
1.7,96.1
1.7,96.2
1.7,96.4
1.7,96.5
1.6994,96.6
1.6989,96.7
1.6989,96.9
1.6989,97
1.6983,97.1
1.6977,97.3
1.6987,97.4
1.6987,97.5
1.6987,97.6
1.6987,97.7
1.6991,97.9
1.7007,98
1.7013,98.1
1.6997,98.2
1.6997,98.4
1.6997,98.5
1.7007,98.6
1.6997,98.7
1.6991,98.9
1.6996,99
1.6996,99.1
1.7001,99.3
1.7001,99.4
1.6996,99.5
1.6996,99.6
1.6986,99.7
1.6976,99.9
1.6986,100
1.699,100.1
1.7,100.2
1.699,100.4
1.699,100.5
1.699,100.6
1.6996,100.8
1.6986,100.9
1.6976,101
1.6966,101.1
1.6966,101.3
1.6971,101.4
1.6977,101.5
1.6971,101.6
1.6971,101.7
1.6971,101.9
1.6981,102
1.6981,102.1
1.6981,102.2
1.6976,102.4
1.6976,102.5
1.6976,102.6
1.6976,102.8
1.6966,102.9
1.6966,103
1.6966,103.1
1.6966,103.3
1.6981,103.4
1.6987,103.5
1.6987,103.6
1.6993,103.7
1.6993,103.9
1.6997,104
1.7003,104.1
1.6993,104.2
1.6987,104.4
1.6987,104.5
1.6991,104.6
1.6997,104.7
1.6993,104.9
1.6993,105
1.6993,105.1
1.6999,105.3
1.7004,105.4
1.7004,105.5
1.6999,105.6
1.7009,105.7
1.7009,105.9
1.7009,106
1.7009,106.1
1.7013,106.2
1.7003,106.4
1.7009,106.5
1.7003,106.6
1.7013,106.8
1.7007,106.9
1.7001,107
1.6991,107.1
1.7001,107.2
1.7001,107.4
1.7001,107.5
1.6996,107.6
1.6996,107.7
1.6996,107.9
1.6996,108
1.6986,108.1
1.6986,108.2
1.6991,108.4
1.6981,108.5
1.6981,108.6
1.6987,108.8
1.6997,108.9
1.6997,109
1.6997,109.1
1.6981,109.2
1.6981,109.4
1.6981,109.5
1.6981,109.6
1.6977,109.7
1.6983,109.9
1.6983,110
1.6983,110.1
1.6983,110.3
1.6993,110.4
1.6987,110.5
1.6981,110.6
1.6976,110.8
1.698,110.9
1.698,111
1.698,111.1
1.698,111.2
1.698,111.4
1.699,111.5
1.699,111.6
1.698,111.7
1.698,111.9
1.698,112
1.697,112.1
1.698,112.3
1.697,112.4
1.697,112.5
1.697,112.6
1.697,112.8
1.697,112.9
1.697,113
1.696,113.1
1.6966,113.2
1.6966,113.4
1.6971,113.5
1.6971,113.6
1.6971,113.7
1.6971,113.9
1.6971,114
1.6966,114.1
1.6966,114.2
1.696,114.4
1.697,114.5
1.697,114.6
1.697,114.8
1.697,114.9
1.697,115
1.6976,115.1
1.6976,115.2
1.6971,115.4
1.6971,115.5
1.6971,115.6
1.6977,115.7
1.6983,115.9
1.6983,116
1.6993,116.1
1.6993,116.3
1.7003,116.4
1.7009,116.5
1.7009,116.6
1.7019,116.7
1.7019,116.9
1.7014,117
1.7014,117.1
1.702,117.2
1.703,117.4
1.703,117.5
1.703,117.6
1.704,117.7
1.705,117.9
1.7044,118
1.7034,118.1
1.7019,118.3
1.7023,118.4
1.7013,118.5
1.7007,118.6
1.6997,118.7
1.6997,118.9
1.7007,119
1.7017,119.1
1.7007,119.2
1.7001,119.4
1.6991,119.5
1.6991,119.6
1.6991,119.8
1.6986,119.9
1.6976,120
1.6986,120.1
1.6996,120.3
1.6996,120.4
1.7,120.5
1.701,120.6
1.7,120.7
1.701,120.9
1.7,121
1.7,121.1
